batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
A Ashish Reddy,13.0,6.0,16.0,29.6,27.0,0.0,8.5,0.0,13.5,0.0,0.0
A Chandila,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chopra,2.0,0.0,0.0,17.5,0.0,0.0,13.0,2.0,1.0,0.0,0.0
A Choudhary,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
A Flintoff,0.0,46.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kumble,13.0,3.0,1.0,4.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0
A Mishra,0.0,12.5,9.777777777777779,12.333333333333334,10.5,0.0,24.5,14.0,9.6,13.0,8.0
A Mithun,0.0,11.0,5.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0
A Mukund,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,0.0,1.0,0.3333333333333333,23.0,0.0,0.0,1.0,2.0,2.0,9.0,0.0
A Singh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Symonds,18.0,36.5,41.0,41.53846153846154,33.5,0.0,9.0,72.0,35.5,3.0,0.0
A Uniyal,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
AA Bilakhia,16.0,0.0,0.0,12.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,0.0,0.0,2.0,12.0,17.0,0.0,22.5,0.0,0.0,5.0,0.0
AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
AB Agarkar,0.0,12.0,0.0,15.0,39.0,0.0,26.666666666666668,9.0,12.0,0.0,0.0
AB Barath,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0
AB Dinda,11.0,2.0,0.0,0.6666666666666666,0.5,0.0,0.0,2.0,0.5,7.0,0.0
AB McDonald,29.0,8.0,38.5,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
AB de Villiers,40.73170731707317,14.166666666666666,55.5,28.375,64.66666666666667,54.0,18.166666666666668,45.0,30.0,29.0,233.0
AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.8,6.0,0.0
AC Gilchrist,15.0,20.0,32.25,29.375,21.75,0.0,38.666666666666664,29.95,6.333333333333333,12.0,0.0
AC Thomas,7.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Voges,0.0,0.0,7.5,0.0,38.0,0.0,45.0,45.0,0.0,0.0,0.0
AD Mascarenhas,0.0,0.0,9.0,5.0,11.75,0.0,9.0,2.0,0.0,5.0,0.0
AD Mathews,11.5,27.0,18.428571428571427,37.333333333333336,56.0,0.0,36.0,18.0,10.666666666666666,23.0,0.0
AD Nath,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,1.5
AD Russell,75.0,5.0,9.8,10.0,37.0,0.0,35.5,44.333333333333336,19.0,0.0,0.0
AF Milne,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AG Murtaza,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
AG Paunikar,0.0,0.0,5.0,20.0,4.5,0.0,15.0,0.0,0.0,0.0,0.0
AJ Finch,15.333333333333334,22.0,29.5,17.833333333333332,21.333333333333332,0.0,24.6,22.0,22.75,38.5,38.416666666666664
AJ Tye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
AL Menaria,8.0,36.0,11.5,20.0,18.333333333333332,0.0,11.0,22.666666666666668,4.0,0.0,0.0
AM Nayar,10.5,27.333333333333332,11.0,15.142857142857142,25.5,0.0,10.0,13.555555555555555,20.3,18.333333333333332,0.0
AM Rahane,58.0,39.333333333333336,74.83333333333333,14.166666666666666,27.941176470588236,0.0,26.4,48.5,28.8,27.055555555555557,26.5
AN Ahmed,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
AN Ghosh,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
AP Dole,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Majumdar,31.0,0.0,0.0,0.0,30.0,0.0,17.0,0.0,0.0,9.0,0.0
AP Tare,13.0,9.0,10.666666666666666,4.0,41.0,0.0,3.0,22.0,11.6,0.0,0.0
