batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
A Ashish Reddy,3.0,1.0,1.0,12.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
A Chandila,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chopra,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
A Choudhary,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kumble,4.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
A Mishra,0.0,4.0,16.0,10.0,2.0,0.0,5.0,3.0,6.0,2.0,1.0
A Mithun,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
A Mukund,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,2.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0
A Singh,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
A Symonds,1.0,2.0,1.0,16.0,3.0,0.0,1.0,3.0,8.0,1.0,0.0
A Uniyal,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AA Bilakhia,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,0.0,0.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0
AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AB Agarkar,0.0,2.0,0.0,2.0,4.0,0.0,6.0,1.0,3.0,0.0,0.0
AB Barath,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
AB Dinda,4.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0
AB McDonald,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AB de Villiers,55.0,6.0,16.0,8.0,6.0,1.0,7.0,7.0,7.0,1.0,4.0
AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0
AC Gilchrist,1.0,7.0,4.0,33.0,4.0,0.0,4.0,22.0,2.0,3.0,0.0
AC Thomas,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC Voges,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
AD Mascarenhas,1.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0
AD Mathews,3.0,2.0,8.0,5.0,3.0,0.0,6.0,3.0,4.0,7.0,0.0
AD Nath,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
AD Russell,4.0,2.0,5.0,2.0,1.0,0.0,6.0,3.0,2.0,0.0,0.0
AF Milne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
AG Murtaza,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
AG Paunikar,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
AJ Finch,3.0,3.0,9.0,8.0,3.0,0.0,6.0,4.0,8.0,6.0,14.0
AJ Tye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
AL Menaria,1.0,1.0,2.0,1.0,12.0,0.0,2.0,3.0,1.0,0.0,0.0
AM Nayar,2.0,4.0,2.0,7.0,3.0,0.0,2.0,13.0,13.0,4.0,0.0
AM Rahane,8.0,4.0,10.0,6.0,37.0,0.0,5.0,9.0,5.0,19.0,2.0
AN Ahmed,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
AN Ghosh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
AP Dole,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Majumdar,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
AP Tare,2.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,11.0,1.0,0.0
