batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
A Ashish Reddy,144.44444444444443,100.0,177.77777777777777,155.78947368421052,135.0,0.0,121.42857142857142,0.0,108.0,0.0,0.0
A Chandila,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
A Chopra,40.0,0.0,0.0,77.77777777777779,0.0,0.0,72.22222222222221,66.66666666666666,25.0,0.0,0.0
A Choudhary,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
A Flintoff,0.0,117.94871794871796,88.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kumble,118.18181818181819,50.0,100.0,66.66666666666666,100.0,0.0,0.0,36.36363636363637,33.33333333333333,0.0,0.0
A Mishra,0.0,104.16666666666667,74.57627118644068,88.09523809523809,60.0,0.0,106.5217391304348,77.77777777777779,109.09090909090908,118.18181818181819,400.0
A Mithun,0.0,137.5,125.0,0.0,0.0,0.0,100.0,160.0,0.0,0.0,0.0
A Mukund,86.36363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,0.0,33.33333333333333,14.285714285714285,127.77777777777777,0.0,0.0,25.0,40.0,18.181818181818183,112.5,0.0
A Singh,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0
A Symonds,105.88235294117648,105.79710144927536,178.26086956521738,135.33834586466165,124.07407407407408,0.0,138.46153846153845,144.0,92.81045751633987,100.0,0.0
A Uniyal,0.0,0.0,0.0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0
AA Bilakhia,200.0,0.0,0.0,67.10526315789474,50.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,0.0,0.0,0.0,0.0,109.09090909090908,0.0,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,0.0,0.0,33.33333333333333,88.88888888888889,105.4263565891473,0.0,121.62162162162163,0.0,0.0,52.63157894736842,0.0
AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
AB Agarkar,0.0,100.0,0.0,187.5,111.42857142857143,0.0,117.64705882352942,100.0,85.71428571428571,0.0,0.0
AB Barath,0.0,0.0,0.0,70.0,0.0,0.0,0.0,40.0,117.85714285714286,0.0,0.0
AB Dinda,68.75,100.0,0.0,40.0,16.666666666666664,0.0,0.0,40.0,14.285714285714285,87.5,0.0
AB McDonald,120.83333333333333,114.28571428571428,126.22950819672131,0.0,0.0,0.0,0.0,81.81818181818183,0.0,0.0,0.0
