batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
A Ashish Reddy,39.0,6.0,16.0,148.0,27.0,0.0,17.0,0.0,27.0,0.0,0.0
A Chandila,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chopra,2.0,0.0,0.0,35.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0
A Choudhary,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
A Flintoff,0.0,46.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kumble,13.0,3.0,1.0,4.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0
A Mishra,0.0,25.0,88.0,74.0,21.0,0.0,49.0,14.0,48.0,13.0,8.0
A Mithun,0.0,11.0,5.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0
A Mukund,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,0.0,1.0,1.0,23.0,0.0,0.0,1.0,4.0,2.0,9.0,0.0
A Singh,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
A Symonds,18.0,73.0,41.0,540.0,67.0,0.0,18.0,72.0,142.0,3.0,0.0
A Uniyal,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
AA Bilakhia,16.0,0.0,0.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,0.0,0.0,2.0,24.0,136.0,0.0,45.0,0.0,0.0,10.0,0.0
AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
AB Agarkar,0.0,12.0,0.0,15.0,39.0,0.0,80.0,9.0,24.0,0.0,0.0
AB Barath,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0
AB Dinda,11.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0
AB McDonald,29.0,8.0,77.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
AB de Villiers,1670.0,85.0,555.0,227.0,194.0,54.0,109.0,180.0,150.0,29.0,233.0
AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,99.0,6.0,0.0
AC Gilchrist,15.0,140.0,129.0,940.0,87.0,0.0,116.0,599.0,19.0,24.0,0.0
AC Thomas,7.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Voges,0.0,0.0,15.0,0.0,76.0,0.0,45.0,45.0,0.0,0.0,0.0
AD Mascarenhas,0.0,0.0,9.0,5.0,47.0,0.0,9.0,4.0,0.0,5.0,0.0
AD Mathews,46.0,54.0,129.0,112.0,56.0,0.0,144.0,36.0,32.0,115.0,0.0
AD Nath,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0
AD Russell,150.0,5.0,49.0,20.0,37.0,0.0,142.0,133.0,38.0,0.0,0.0
AF Milne,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AG Murtaza,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
AG Paunikar,0.0,0.0,5.0,20.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0
AJ Finch,46.0,66.0,236.0,107.0,64.0,0.0,123.0,88.0,182.0,231.0,461.0
AJ Tye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
AL Menaria,8.0,36.0,23.0,20.0,220.0,0.0,22.0,68.0,4.0,0.0,0.0
AM Nayar,21.0,82.0,22.0,106.0,51.0,0.0,10.0,122.0,203.0,55.0,0.0
AM Rahane,348.0,118.0,449.0,85.0,950.0,0.0,132.0,291.0,144.0,487.0,53.0
AN Ahmed,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
AN Ghosh,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
AP Dole,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Majumdar,31.0,0.0,0.0,0.0,30.0,0.0,17.0,0.0,0.0,9.0,0.0
AP Tare,26.0,9.0,32.0,8.0,123.0,0.0,3.0,22.0,116.0,0.0,0.0
AR Bawne,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
AR Patel,82.0,9.0,66.0,91.0,24.0,0.0,17.0,248.0,6.0,25.0,38.0
AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
AS Raut,5.0,0.0,11.0,36.0,103.0,0.0,13.0,26.0,0.0,0.0,0.0
AS Yadav,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT Rayudu,136.0,153.0,77.0,7.0,158.0,0.0,174.0,198.0,1419.0,94.0,0.0
AUK Pathan,14.0,0.0,0.0,4.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0
Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,0.0,0.0,0.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankit Sharma,3.0,45.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,0.0,25.0
Ankit Soni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Anureet Singh,0.0,10.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azhar Mahmood,33.0,8.0,54.0,49.0,6.0,0.0,0.0,228.0,10.0,0.0,0.0
B Akhil,12.0,8.0,24.0,27.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
B Chipli,0.0,35.0,24.0,118.0,0.0,0.0,48.0,14.0,18.0,23.0,0.0
B Kumar,11.0,24.0,0.0,63.0,0.0,0.0,9.0,1.0,16.0,34.0,0.0
B Laughlin,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Lee,9.0,0.0,10.0,0.0,30.0,1.0,17.0,39.0,18.0,0.0,0.0
B Sumanth,0.0,16.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BA Stokes,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,281.0,25.0
